Nama Broker,Kode Broker,Nama Emiten,Nama Perusahaan,Tanggal,Buy Value,Buy Lot,Buy Avg,Sell Value,Sell Lot,Sell Avg,Open Price,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Persentase Selisih
MANDIRI SEKURITAS,CC,PBSA,Paramita Bangun Sarana Tbk.,2/2/2026,5.8B,42.426,1.364,1B,7.481,1.365,1355.0,1355.0,1500.0,1330.0,1500.0,-60.0,-4.00%
BRI Danareksa Sekuritas,OD,PBSA,Paramita Bangun Sarana Tbk.,2/2/2026,,,,1.4B,9.942,1.399,1355.0,1355.0,1500.0,1330.0,1500.0,-60.0,-4.00%
MANDIRI SEKURITAS,CC,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/28/2026,5.8M,233,248,1.5M,58,252,264.0,262.0,264.0,236.0,246.0,-18.0,-7.32%
BNI Sekuritas,NI,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/28/2026,307.2K,12,256,499.6K,21,238,264.0,262.0,264.0,236.0,246.0,-18.0,-7.32%
BRI Danareksa Sekuritas,OD,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/28/2026,1.5M,60,246,1M,39,262,264.0,262.0,264.0,236.0,246.0,-18.0,-7.32%
MANDIRI SEKURITAS,CC,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/29/2026,9.1M,424,214,1M,49,212,210.0,210.0,248.0,210.0,228.0,-18.0,-7.89%
BNI Sekuritas,NI,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/29/2026,2M,96,210,998.4K,47,212,210.0,210.0,248.0,210.0,228.0,-18.0,-7.89%
BRI Danareksa Sekuritas,OD,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/29/2026,,,,222K,10,222,210.0,210.0,248.0,210.0,228.0,-18.0,-7.89%
MANDIRI SEKURITAS,CC,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/30/2026,8.4M,380,221,67.6K,3,225,228.0,228.0,240.0,210.0,210.0,-18.0,-8.57%
BNI Sekuritas,NI,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/30/2026,,,,88.8K,4,222,228.0,228.0,240.0,210.0,210.0,-18.0,-8.57%
BRI Danareksa Sekuritas,OD,PGLI,Pembangunan Graha Lestari Indah Tbk.,1/30/2026,735K,34,216,387K,17,228,228.0,228.0,240.0,210.0,210.0,-18.0,-8.57%
MANDIRI SEKURITAS,CC,PGLI,Pembangunan Graha Lestari Indah Tbk.,2/2/2026,3.7M,178,210,503K,24,210,228.0,220.0,228.0,195.0,196.0,-14.0,-7.14%
BNI Sekuritas,NI,PGLI,Pembangunan Graha Lestari Indah Tbk.,2/2/2026,2M,101,196,21.4K,1,214,228.0,220.0,228.0,195.0,196.0,-14.0,-7.14%
BRI Danareksa Sekuritas,OD,PGLI,Pembangunan Graha Lestari Indah Tbk.,2/2/2026,,,,43.6K,2,218,228.0,220.0,228.0,195.0,196.0,-14.0,-7.14%
MANDIRI SEKURITAS,CC,PGUN,Pradiksi Gunatama Tbk.,1/28/2026,381.4M,379,10.062,202.2M,210,9.629,10200.0,10225.0,10875.0,9475.0,9700.0,-1425.0,-14.69%
BNI Sekuritas,NI,PGUN,Pradiksi Gunatama Tbk.,1/28/2026,9.5M,10,9.525,76.6M,75,10.212,10200.0,10225.0,10875.0,9475.0,9700.0,-1425.0,-14.69%
BRI Danareksa Sekuritas,OD,PGUN,Pradiksi Gunatama Tbk.,1/28/2026,5.8M,6,9.642,49.8M,48,10.37,10200.0,10225.0,10875.0,9475.0,9700.0,-1425.0,-14.69%
MANDIRI SEKURITAS,CC,PGUN,Pradiksi Gunatama Tbk.,1/29/2026,188.1M,211,8.913,175.3M,186,9.427,9700.0,9700.0,10200.0,8250.0,9525.0,-175.0,-1.84%
BNI Sekuritas,NI,PGUN,Pradiksi Gunatama Tbk.,1/29/2026,41.4M,46,8.992,17.1M,20,8.55,9700.0,9700.0,10200.0,8250.0,9525.0,-175.0,-1.84%
MANDIRI SEKURITAS,CC,PGUN,Pradiksi Gunatama Tbk.,1/30/2026,31.1M,32,9.707,214M,218,9.819,9525.0,9675.0,10200.0,9525.0,9875.0,350.0,3.54%
BRI Danareksa Sekuritas,OD,PGUN,Pradiksi Gunatama Tbk.,1/30/2026,7.7M,8,9.681,,,,9525.0,9675.0,10200.0,9525.0,9875.0,350.0,3.54%
MANDIRI SEKURITAS,CC,PGUN,Pradiksi Gunatama Tbk.,2/2/2026,260.9M,299,8.726,28.8M,31,9.29,9875.0,9875.0,9875.0,8400.0,8400.0,-1475.0,-17.56%
BNI Sekuritas,NI,PGUN,Pradiksi Gunatama Tbk.,2/2/2026,2.7M,3,9.133,1.7M,2,8.538,9875.0,9875.0,9875.0,8400.0,8400.0,-1475.0,-17.56%
